id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
19889996,The Brooklyn Blue House 4,41847188967,unconfirmed,Giana,Brooklyn,Canarsie,40.64651,-73.90043,United States,US,True,flexible,Private room,2014,"$1,160 ",$232 ,2,28,6/3/2019,3.19,5,4,178,"- 1.Guest(s) agree to NO PARTIES anywhere on the property. Legal action will be taken for parties that cause damages to the unit, property, reputation, or relationship with building staff or other residents.  2.Smoking of any kind is not permitted in the unit or on the premises. Fee for smoking will be 10 times your total reservation cost. For example, your total reservation cost is $350. Fee for smoking on premises will be $3,500. 3.Guests agree to abide by maximum occupancy of unit, and observe quiet hours between 9pm and 9am  4.Guests are responsible for action of ALL GUESTS occupying their unit at all times.  5.Guests agree to return all keys, remotes. Replacement fees may apply for unreturned items  6.Guests understand that onsite building staff (maintenance and concierge) are not affiliated with AIRBNB. Please contact me directly for any needed items.  7.Guests understand that no pets are to be in the unit.  8.Guests agree to pay replacement cost for any unreturned items, and $21",
19890548,Spacious UWS 1BR + balcony by Central Park,86743683521,verified,Austin,Manhattan,Upper West Side,40.78986,-73.96688,United States,US,True,strict,Entire home/apt,2010,$661 ,$132 ,2,21,6/17/2019,1.83,2,1,2,No smoking in the unit or in the building (strict).  There will be a $450 fine for smoking in the unit or in the building. No open flame. No pets. Please respect your neighbors and keep the noise down after 10pm.   There is a $50 fee for lost keys.,
19891101,Private Apartment in Classic Brownstone,34880547578,unconfirmed,Vince,Brooklyn,Bedford-Stuyvesant,40.68007,-73.92963,United States,US,False,flexible,Entire home/apt,2006,"$1,046 ",$209 ,5,36,7/4/2019,3.62,4,1,145,#NAME?,
19891653,Heart of Bushwick 2 minutes to the L train,16618148417,unconfirmed,John,Brooklyn,Bushwick,40.701809999999995,-73.91566,United States,US,False,moderate,Private room,2004,"$1,009 ",$202 ,1,44,7/1/2019,5.34,4,3,27,#NAME?,
19892205,★ UNBEATABLE★ 4Beds/Manhattan/NYC/TIME SQUARE,89012881506,unconfirmed,Weihao,Manhattan,Hell's Kitchen,40.761759999999995,-73.98980999999999,United States,US,False,moderate,Entire home/apt,2011,"$1,101 ",$220 ,4,19,6/16/2019,1.63,4,1,134,"Sorry, but no pets or smoking.",
19892758,The Mavis,84046389662,unconfirmed,Derrick,Manhattan,East Harlem,40.80603,-73.94114,United States,US,True,flexible,Entire home/apt,2020,$887 ,$177 ,2,27,6/25/2019,2.87,5,1,29,,
19893310,"Downtown, 1 Bedroom with living room + sofa bed",50071334042,unconfirmed,Ashley,Manhattan,Lower East Side,40.719359999999995,-73.99229,United States,US,False,strict,Entire home/apt,2015,$271 ,$54 ,5,22,5/27/2019,2.19,3,1,40,"We only ask that you have a ton of fun, and that you leave our place exactly how you found it when you got there :)",
19893862,Serene large private room in stylish Brooklyn apt,70979188957,verified,Sarah,Brooklyn,Flatbush,40.6417,-73.95251,United States,US,False,strict,Private room,2011,$631 ,$126 ,2,2,10/5/2018,0.19,3,6,287,,
19894414,Private Room in Williamsburg Apartment,39210900895,verified,Selika,Brooklyn,Williamsburg,40.71671,-73.94094,United States,US,False,moderate,Private room,2003,$97 ,$19 ,6,1,8/29/2018,0.1,3,1,287,Please respect our neighbors and keep noise to a minimum.,
19894967,Garden apartment in the heart of Fort Greene,44786517977,unconfirmed,Caroline,Brooklyn,Fort Greene,40.68925,-73.97108,United States,US,False,strict,Entire home/apt,2004,$280 ,$56 ,2,16,6/20/2019,3.72,2,1,29,"• Check-in time is 4PM. • No parties or events • Not suitable for pets • No smoking No parties, no outside visitors and no overnight quests without prior approval Do not engage in illegal activities anywhere on the property Please do not leave out any food that will attract uninvited pests Please no smoking   We trust you will be a courteous guest.  Please feel free to write us with any questions or requests.",
19895519,1BEDROOM AT YANKEE STADUIM,89657914189,unconfirmed,Figo,Bronx,Concourse Village,40.82855,-73.91856,United States,US,False,strict,Private room,2006,$570 ,$114 ,1,9,3/3/2019,0.82,5,2,332,NO Smoking. No Pets.,
19896071,Cozy eclectic bedroom in the heart of Bushwick,14216171445,verified,Justin,Brooklyn,Bushwick,40.701440000000005,-73.92094,United States,US,True,moderate,Private room,2017,$681 ,$136 ,5,3,1/6/2019,0.27,4,1,0,No Smoking No Pets,
19896624,Giordano Suite - 5 mins to LGA,77484443201,unconfirmed,Melissa,Queens,East Elmhurst,40.75817,-73.89893000000001,United States,US,False,flexible,Entire home/apt,2007,$964 ,$193 ,1,43,12/30/2018,3.72,2,1,0,Don't disturb neighbors. Don't break things or leave a mess. Enjoy.,
19897176,"Bright, modern duplex w/ rooftop deck  & balcony",12697080537,unconfirmed,Katie,Brooklyn,Bedford-Stuyvesant,40.68652,-73.94848,United States,US,True,moderate,Private room,2004,$552 ,$110 ,3,5,4/22/2019,0.47,2,1,0,"Please enjoy your stay in my home and note the following house rules: - NO smoking anywhere in the apartment or building -Trash can be left in front of the building anytime after 5pm on Sunday or Thursday nights.  All trash must be in a white trash bag (bags line the kitchen trash can and extras are under the counter to the left of the stove) -NO pets - Please do not eat any food from the refridgerator or cabinets (you may help yourself to cooking basics like salt, pepper, oil, etc) -Please clean any dishes that you use (or load them into the dish washer) -Please be respectful of our neighbors in the building -Please remove your shoes when you enter the apartment",
19897728,Beautiful bright Brooklyn Heights 1 bedroom,59085838183,verified,Lucas,Brooklyn,Boerum Hill,40.690329999999996,-73.98994,United States,US,False,flexible,Entire home/apt,2006,$588 ,$118 ,3,6,6/12/2019,0.51,5,1,194,#NAME?,
19898281,"Hi-ceiling, Studio, Flatiron NYC",36749035403,unconfirmed,Aleksandar,Manhattan,Kips Bay,40.739329999999995,-73.9797,United States,US,True,moderate,Entire home/apt,2007,"$1,155 ",$231 ,7,13,6/23/2019,1.26,4,1,292,NO Smoking.  NO Pets.,
